RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
395166,388,"Truckee, CA",msa,CA,35.0,24.0,20.0,18.0,19.0,22.0,30.0,40.0,47.0,48.0,50.0,45.0,37.0,29.0,29.0,27.0,26.0,30.0,36.0,42.0,45.0,50.0,52.0,44.0,32.0,27.0,25.0,27.0,18.0,15.0,10.0,9.0,11.0,14.0,16.0,15.0,11.0,8.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0,17.0,20.0,18.0,13.0,9.0,10.0,14.0,20.0,26.0,31.0,32.0,33.0,40.0,52.0
395190,389,"Victoria, TX",msa,TX,48.0,31.0,30.0,31.0,32.0,39.0,42.0,41.0,50.0,51.0,63.0,53.0,45.0,28.0,24.0,23.0,26.0,33.0,41.0,51.0,59.0,71.0,72.0,58.0,41.0,37.0,47.0,45.0,33.0,21.0,21.0,21.0,23.0,22.0,27.0,33.0,32.0,26.0,15.0,12.0,12.0,12.0,14.0,14.0,20.0,23.0,27.0,21.0,18.0,13.0,13.0,10.0,11.0,11.0,13.0,17.0,20.0,27.0,46.0
394882,390,"Moses Lake, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,37.0,34.0,24.0,28.0,20.0,16.0,9.0,7.0,8.0,12.0,13.0,14.0,10.0,10.0,8.0,8.0,6.0,6.0,6.0,8.0,9.0,11.0,12.0,16.0,19.0,19.0,15.0,9.0,7.0,8.0,10.0,14.0,21.0,24.0,29.0,35.0,50.0
395086,391,"Sevierville, TN",msa,TN,48.0,43.0,36.0,35.0,29.0,31.0,33.0,36.0,43.0,46.0,48.0,37.0,29.0,22.0,21.0,21.0,22.0,22.0,21.0,20.0,20.0,19.0,18.0,17.0,15.0,16.0,18.0,25.0,27.0,27.0,20.0,14.0,7.0,6.0,7.0,7.0,5.0,5.0,4.0,5.0,6.0,7.0,9.0,9.0,9.0,7.0,6.0,5.0,5.0,5.0,6.0,9.0,14.0,22.0,28.0,33.0,32.0,36.0,36.0
395090,392,"Shelby, NC",msa,NC,,,,,,,,,,,,,70.0,48.0,29.0,20.0,22.0,22.0,29.0,30.0,28.0,33.0,34.0,39.0,29.0,29.0,20.0,18.0,11.0,9.0,6.0,7.0,10.0,10.0,11.0,9.0,8.0,6.0,5.0,5.0,6.0,7.0,8.0,8.0,9.0,12.0,14.0,13.0,11.0,8.0,9.0,8.0,8.0,10.0,14.0,20.0,24.0,30.0,31.0
395038,393,"Rome, GA",msa,GA,45.0,26.0,28.0,27.0,28.0,27.0,32.0,36.0,39.0,39.0,34.0,29.0,24.0,23.0,21.0,20.0,24.0,30.0,38.0,37.0,31.0,29.0,29.0,33.0,30.0,27.0,29.0,35.0,33.0,25.0,17.0,17.0,18.0,20.0,21.0,20.0,14.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,12.0,14.0,16.0,14.0,11.0,9.0,10.0,10.0,12.0,15.0,15.0,18.0,19.0,23.0,23.0
394852,394,"Meridian, MS",msa,MS,112.0,103.0,91.0,80.0,70.0,75.0,79.0,96.0,98.0,97.0,116.0,113.0,125.0,97.0,98.0,74.0,71.0,64.0,70.0,91.0,98.0,120.0,130.0,109.0,89.0,54.0,74.0,64.0,61.0,48.0,44.0,45.0,41.0,46.0,51.0,51.0,46.0,33.0,24.0,12.0,11.0,12.0,12.0,10.0,15.0,24.0,35.0,31.0,21.0,12.0,10.0,12.0,12.0,18.0,23.0,22.0,29.0,31.0,48.0
394302,395,"Adrian, MI",msa,MI,45.0,36.0,16.0,13.0,16.0,18.0,24.0,29.0,36.0,49.0,56.0,61.0,55.0,48.0,38.0,28.0,24.0,23.0,28.0,30.0,34.0,39.0,41.0,37.0,30.0,30.0,28.0,24.0,16.0,16.0,15.0,12.0,14.0,14.0,20.0,17.0,14.0,6.0,5.0,5.0,6.0,13.0,20.0,30.0,33.0,35.0,35.0,28.0,21.0,13.0,14.0,18.0,20.0,22.0,24.0,27.0,29.0,34.0,48.0
394542,396,"Dubuque, IA",msa,IA,,,,,,,,,,,,,,71.0,43.0,21.0,17.0,22.0,26.0,28.0,30.0,37.0,49.0,50.0,38.0,28.0,23.0,27.0,20.0,17.0,16.0,17.0,16.0,15.0,14.0,14.0,10.0,10.0,7.0,6.0,6.0,9.0,15.0,14.0,14.0,14.0,16.0,13.0,8.0,6.0,6.0,6.0,8.0,8.0,9.0,9.0,12.0,19.0,19.0
394441,397,"Cape Girardeau, MO",msa,MO,73.0,56.0,40.0,35.0,28.0,34.0,41.0,47.0,47.0,54.0,60.0,75.0,66.0,62.0,39.0,32.0,26.0,31.0,32.0,36.0,40.0,49.0,59.0,70.0,58.0,43.0,28.0,27.0,24.0,22.0,22.0,24.0,20.0,21.0,20.0,18.0,12.0,8.0,6.0,7.0,7.0,8.0,7.0,9.0,9.0,10.0,10.0,9.0,7.0,7.0,8.0,8.0,9.0,10.0,13.0,11.0,14.0,18.0,26.0
